1000	^[0-9]_.*	5000	0	0	failure	5	0	0
900	^[0-9]_.*	4500	0	0	failure	5	0	0
800	^[0-9]_.*	4000	0	0	failure	5	0	0
700	^[0-9]_.*	3500	0	0	failure	5	0	0
600	^[0-9]_.*	3000	0	0	failure	5	0	0
500	^[0-9]_.*	2500	0	0	failure	5	0	0
1000	^1[0-4]_.*	7000	1500	1500	success	8	2	2
900	^1[0-4]_.*	7000	1500	1500	success	9	2	2
800	^1[0-4]_.*	7000	1500	1500	success	10	2	2
700	^1[0-4]_.*	7000	1500	1500	success	11	3	3
600	^1[0-4]_.*	7000	1500	1500	success	13	3	3
500	^1[0-4]_.*	7000	1500	1500	success	15	3	3
1000	^1[5-9]_.*	7000	1500	1500	success	7	2	2
900	^1[5-9]_.*	7000	1500	1500	success	8	2	2
800	^1[5-9]_.*	7000	1500	1500	success	9	2	2
700	^1[5-9]_.*	7000	1500	1500	success	10	3	3
600	^1[5-9]_.*	7000	1500	1500	success	12	3	3
500	^1[5-9]_.*	7000	1500	1500	success	14	3	3
1000	^2[0-4]_.*	7000	1500	1500	success	7	2	2
900	^2[0-4]_.*	7000	1500	1500	success	8	2	2
800	^2[0-4]_.*	7000	1500	1500	success	9	2	2
700	^2[0-4]_.*	7000	1500	1500	success	10	3	3
600	^2[0-4]_.*	7000	1500	1500	success	12	3	3
500	^2[0-4]_.*	7000	1500	1500	success	14	3	3
1000	^2[5-9]_.*	7000	1500	1500	success	7	2	2
900	^2[5-9]_.*	7000	1500	1500	success	8	2	2
800	^2[5-9]_.*	7000	1500	1500	success	9	2	2
700	^2[5-9]_.*	7000	1500	1500	success	10	3	3
600	^2[5-9]_.*	7000	1500	1500	success	12	3	3
500	^2[5-9]_.*	7000	1500	1500	success	14	3	3
1000	^3[0-4]_.*	7000	1500	1500	success	7	2	2
900	^3[0-4]_.*	7000	1500	1500	success	8	2	2
800	^3[0-4]_.*	7000	1500	1500	success	9	2	2
700	^3[0-4]_.*	7000	1500	1500	success	10	3	3
600	^3[0-4]_.*	7000	1500	1500	success	12	3	3
500	^3[0-4]_.*	7000	1500	1500	success	14	3	3
1000	^3[5-9]_.*	7000	1500	1500	success	7	2	2
900	^3[5-9]_.*	7000	1500	1500	success	8	2	2
800	^3[5-9]_.*	7000	1500	1500	success	9	2	2
700	^3[5-9]_.*	7000	1500	1500	success	10	3	3
600	^3[5-9]_.*	7000	1500	1500	success	12	3	3
500	^3[5-9]_.*	7000	1500	1500	success	14	3	3
1000	^4[0-4]_.*	7000	1500	1500	success	7	2	2
900	^4[0-4]_.*	7000	1500	1500	success	8	2	2
800	^4[0-4]_.*	7000	1500	1500	success	9	2	2
700	^4[0-4]_.*	7000	1500	1500	success	10	3	3
600	^4[0-4]_.*	7000	1500	1500	success	12	3	3
500	^4[0-4]_.*	7000	1500	1500	success	14	3	3
1000	^4[5-9]_.*	7000	1500	1500	success	7	2	2
900	^4[5-9]_.*	7000	1500	1500	success	8	2	2
800	^4[5-9]_.*	7000	1500	1500	success	9	2	2
700	^4[5-9]_.*	7000	1500	1500	success	10	3	3
600	^4[5-9]_.*	7000	1500	1500	success	12	3	3
500	^4[5-9]_.*	7000	1500	1500	success	14	3	3
1000	^5[0-4]_.*	7000	1500	1500	success	7	2	2
900	^5[0-4]_.*	7000	1500	1500	success	8	2	2
800	^5[0-4]_.*	7000	1500	1500	success	9	2	2
700	^5[0-4]_.*	7000	1500	1500	success	10	3	3
600	^5[0-4]_.*	7000	1500	1500	success	12	3	3
