# BLASTP 2.12.0+
# Query: AaCas12b
# Database: data/003/FASTA/training_v2/training_v2.fasta
# Fields: query acc., subject acc., % identity, evalue
# 10 hits found
AaCas12b	665099|A0A2V2ZCY4|30	29.508	0.25
AaCas12b	656178|A0A0C5JSK1|28	35.398	1.1
AaCas12b	665126|A0A0P6WF42|26	26.829	2.5
AaCas12b	670079|A0A839QSQ1|16	34.884	2.6
AaCas12b	274|A0A7R7YLD4|70	23.913	3.3
AaCas12b	425513|A0A4R6SXB1|22	40.000	3.3
AaCas12b	49899|A0A2Z2M8X2|80	28.421	3.6
AaCas12b	309806|A0A831YBU1|68	40.000	4.5
AaCas12b	220697|A0A367XBG8|25	25.373	8.9
AaCas12b	262209|A0A176QDV5|28	38.182	9.2
# BLASTP 2.12.0+
# Query: WP_206918966.1
# Database: data/003/FASTA/training_v2/training_v2.fasta
# Fields: query acc., subject acc., % identity, evalue
# 5 hits found
WP_206918966.1	670079|A0A839QSQ1|16	34.884	2.6
WP_206918966.1	274|A0A7R7YLD4|70	23.913	3.2
WP_206918966.1	665126|A0A0P6WF42|26	26.829	3.4
WP_206918966.1	49899|A0A2Z2M8X2|80	28.421	5.4
WP_206918966.1	1214928|A0A4Y9F9Z9|65	25.000	5.7
# BLASTP 2.12.0+
# Query: WP_206922773.1
# Database: data/003/FASTA/training_v2/training_v2.fasta
# Fields: query acc., subject acc., % identity, evalue
# 6 hits found
WP_206922773.1	670079|A0A839QSQ1|16	34.884	2.8
WP_206922773.1	274|A0A7R7YLD4|70	23.913	3.1
WP_206922773.1	665126|A0A0P6WF42|26	26.829	3.7
WP_206922773.1	665126|A0A0P6VLC4|26	30.159	3.9
WP_206922773.1	49899|A0A2Z2M8X2|80	28.421	5.7
WP_206922773.1	1214928|A0A4Y9F9Z9|65	25.000	5.9
# BLASTP 2.12.0+
# Query: WP_146824402.1
# Database: data/003/FASTA/training_v2/training_v2.fasta
# Fields: query acc., subject acc., % identity, evalue
# 6 hits found
WP_146824402.1	670079|A0A839QSQ1|16	34.884	2.8
WP_146824402.1	274|A0A7R7YLD4|70	23.913	3.2
WP_146824402.1	665126|A0A0P6WF42|26	26.829	3.7
WP_146824402.1	665126|A0A0P6VLC4|26	30.159	3.9
WP_146824402.1	49899|A0A2Z2M8X2|80	28.421	5.7
WP_146824402.1	1214928|A0A4Y9F9Z9|65	25.000	5.9
# BLASTP 2.12.0+
# Query: WP_021296342.1
# Database: data/003/FASTA/training_v2/training_v2.fasta
# Fields: query acc., subject acc., % identity, evalue
# 10 hits found
WP_021296342.1	665126|A0A0P6WF42|26	26.950	1.3
WP_021296342.1	643671|A0A327WNP2|25	37.778	1.6
WP_021296342.1	41675|A0A650CLQ6|80	25.373	1.8
WP_021296342.1	49899|A0A2Z2M8X2|80	27.619	2.7
WP_021296342.1	1295609|A0A7V5XH99|80	30.588	3.1
WP_021296342.1	670079|A0A839QSQ1|16	34.884	3.7
WP_021296342.1	262209|A0A176QDV5|28	38.182	4.6
WP_021296342.1	328814|A0A5B3G8E3|37	25.714	6.8
WP_021296342.1	670079|A0A839QFZ5|16	24.060	7.0
WP_021296342.1	220697|A0A367XBG8|25	25.758	9.1
# BLASTP 2.12.0+
# Query: 5U33_A
# Database: data/003/FASTA/training_v2/training_v2.fasta
# Fields: query acc., subject acc., % identity, evalue
# 10 hits found
5U33_A	643671|A0A327WNP2|25	37.778	1.5
5U33_A	41675|A0A650CLQ6|80	25.373	1.8
5U33_A	220697|A0A367XB84|25	24.042	2.1
5U33_A	49899|A0A2Z2M8X2|80	27.619	2.6
5U33_A	1295609|A0A7V5XH99|80	30.588	3.2
5U33_A	670079|A0A839QSQ1|16	34.884	3.7
5U33_A	262209|A0A176QDV5|28	38.182	4.6
5U33_A	328814|A0A5B3G8E3|37	25.714	6.5
5U33_A	670079|A0A839QFZ5|16	24.060	7.2
5U33_A	220697|A0A367XBG8|25	25.758	9.1
# BLASTP 2.12.0+
# Query: WP_067936067.1
# Database: data/003/FASTA/training_v2/training_v2.fasta
# Fields: query acc., subject acc., % identity, evalue
# 6 hits found
WP_067936067.1	53376|A0A1X0DEA3|37	41.860	3.4
WP_067936067.1	2320|A0A832TFK8|98	32.308	3.5
WP_067936067.1	1768010|A0A7W7QA65|28	28.889	4.7
WP_067936067.1	54077|A0A2Z2MG84|80	30.303	7.2
WP_067936067.1	872965|A0A0M8K8T6|65	33.333	8.3
WP_067936067.1	60450|A0A7Y4KZH1|27	46.512	9.3
# BLASTP 2.12.0+
# Query: SFU30094.1
# Database: data/003/FASTA/training_v2/training_v2.fasta
# Fields: query acc., subject acc., % identity, evalue
# 5 hits found
SFU30094.1	2424|A0A7C5U4T7|70	26.087	0.060
SFU30094.1	680118|A0A328PDK7|70	31.169	3.6
SFU30094.1	619731|A0A1I6PWR9|37	41.538	3.9
SFU30094.1	2280|A0A7C4D856|88	40.541	6.0
SFU30094.1	619731|A0A1I6TIH6|37	31.461	9.4
# BLASTP 2.12.0+
# Query: WP_139234486.1
# Database: data/003/FASTA/training_v2/training_v2.fasta
# Fields: query acc., subject acc., % identity, evalue
# 5 hits found
WP_139234486.1	2424|A0A7C5U4T7|70	26.087	0.061
WP_139234486.1	680118|A0A328PDK7|70	31.169	3.8
WP_139234486.1	619731|A0A1I6PWR9|37	41.538	3.9
WP_139234486.1	2280|A0A7C4D856|88	40.541	6.2
WP_139234486.1	619731|A0A1I6TIH6|37	31.461	9.2
# BLASTP 2.12.0+
# Query: WP_206885894.1
# Database: data/003/FASTA/training_v2/training_v2.fasta
# Fields: query acc., subject acc., % identity, evalue
# 5 hits found
WP_206885894.1	82977|A0A381C8Y3|30	24.051	0.15
WP_206885894.1	82977|A0A381C3L2|30	25.581	3.1
WP_206885894.1	665126|A0A0P6VQQ4|26	36.170	3.3
WP_206885894.1	254056|A0A177FEB6|23	36.364	5.4
WP_206885894.1	53376|A0A1X0DL83|37	37.097	8.6
# BLASTP 2.12.0+
# Query: MBX6353558.1
# Database: data/003/FASTA/training_v2/training_v2.fasta
# Fields: query acc., subject acc., % identity, evalue
# 9 hits found
MBX6353558.1	1932|A0A5P1YPF6|28	42.308	0.14
MBX6353558.1	1932|A0A5P1YPA4|28	36.364	0.95
MBX6353558.1	37372|A0A4U8U478|37	26.316	2.1
MBX6353558.1	2280|A0A7C4D856|88	43.243	2.5
MBX6353558.1	500|A0A7C1K1S8|70	60.000	3.0
MBX6353558.1	660064|A0A832VZV0|65	36.957	4.1
MBX6353558.1	133270|A0A3M0BNS2|65	26.804	4.8
MBX6353558.1	656178|A0A0C5K0A9|28	32.184	5.9
MBX6353558.1	75906|W0DEQ2|80	32.394	9.8
# BLASTP 2.12.0+
# Query: TccCas13a
# Database: data/003/FASTA/training_v2/training_v2.fasta
# Fields: query acc., subject acc., % identity, evalue
# 11 hits found
TccCas13a	665126|A0A0P6W5D6|26	38.333	0.12
TccCas13a	313370|A0A432PWK6|85	30.769	0.55
TccCas13a	99594|A0A419TA60|65	40.541	0.58
TccCas13a	2285|A0A0U2W2R8|71	43.396	1.0
TccCas13a	999894|A0A179D7Q9|70	26.667	2.1
TccCas13a	246264|A0A497XN06|75	25.676	2.6
TccCas13a	69656|A0A650CI60|75	26.087	5.0
TccCas13a	254056|A0A177F8K1|23	23.019	7.8
TccCas13a	513050|A0A7C3SP00|75	26.496	7.9
TccCas13a	45071|A0A1E5JLY5|37	35.211	8.0
TccCas13a	381751|A0A1M6SLQ0|75	36.585	9.7
# BLASTP 2.12.0+
# Query: CaldoCas9
# Database: data/003/FASTA/training_v2/training_v2.fasta
# Fields: query acc., subject acc., % identity, evalue
# 36 hits found
CaldoCas9	237019|A0A2W7QN93|25	26.829	2.91e-26
CaldoCas9	237019|A0A2W7QN93|25	22.936	0.11
CaldoCas9	1653476|A0A0U5ALQ1|75	39.437	0.003
CaldoCas9	444093|A0A3D8P1Q1|70	36.842	0.021
CaldoCas9	693075|A0A7C4TW92|65	33.803	0.043
CaldoCas9	310769|A0A1G8DFI8|75	29.333	0.055
CaldoCas9	310769|A0A1G8AUA1|75	29.333	0.060
CaldoCas9	1741|A0A117LBU0|70	47.222	0.061
CaldoCas9	444093|A0A3D8P4P0|70	36.000	0.082
CaldoCas9	999894|A0A179D5P7|70	35.938	0.097
CaldoCas9	1295609|A0A7V6CEL2|80	47.222	0.11
CaldoCas9	872965|A0A0M9UBD0|65	40.909	0.12
CaldoCas9	28240|A0A7C4DFF4|78	27.044	0.12
CaldoCas9	240167|A0A420W732|75	33.898	0.14
CaldoCas9	501497|A0A7V5NZV0|70	47.222	0.28
CaldoCas9	1768010|A0A7W7Q3P9|28	34.177	0.31
CaldoCas9	60450|A0A7Y4NZX6|27	40.476	0.36
CaldoCas9	310769|A0A1G8E589|75	23.267	0.40
CaldoCas9	237019|A0A2W7QM72|25	37.838	0.89
CaldoCas9	1932|A0A5P1YGP3|28	39.474	0.96
CaldoCas9	240169|A0A238Z493|70	30.508	1.0
CaldoCas9	84156|A0A832YXC6|85	24.409	1.3
CaldoCas9	35749|A0A7C0YS50|83	26.515	2.2
CaldoCas9	53376|A0A1X0DWE5|37	44.444	2.3
CaldoCas9	198703|A0A285N0V7|70	30.921	2.3
CaldoCas9	520764|A0A140KZE5|70	42.105	2.5
CaldoCas9	872965|A0A0M8K967|65	28.431	2.8
CaldoCas9	254056|A0A177F8A0|23	20.915	3.0
CaldoCas9	262209|A0A176QGV7|28	31.646	3.6
CaldoCas9	520764|A0A140L0U7|70	28.000	3.6
CaldoCas9	520764|A0A140L760|70	39.474	5.0
CaldoCas9	745820|A0A1H0GTZ2|30	26.667	5.3
CaldoCas9	66851|A0A166BSA6|35	30.488	6.9
CaldoCas9	246264|A0A497XR35|75	36.264	7.7
CaldoCas9	12915|A0A6A9QNH7|88	28.704	8.6
CaldoCas9	2265|A0A7C5NSJ6|85	24.812	8.8
# BLASTP 2.12.0+
# Query: GeoCas9
# Database: data/003/FASTA/training_v2/training_v2.fasta
# Fields: query acc., subject acc., % identity, evalue
# 38 hits found
GeoCas9	237019|A0A2W7QN93|25	26.829	3.12e-26
GeoCas9	237019|A0A2W7QN93|25	22.477	0.21
GeoCas9	1653476|A0A0U5ALQ1|75	38.028	0.005
GeoCas9	444093|A0A3D8P1Q1|70	36.842	0.016
GeoCas9	444093|A0A3D8P4P0|70	36.000	0.072
GeoCas9	310769|A0A1G8DFI8|75	29.333	0.072
GeoCas9	310769|A0A1G8AUA1|75	29.333	0.076
GeoCas9	872965|A0A0M9UBD0|65	40.909	0.084
GeoCas9	240167|A0A420W732|75	33.898	0.17
GeoCas9	1295609|A0A7V6CEL2|80	44.444	0.18
GeoCas9	999894|A0A179D5P7|70	47.222	0.23
GeoCas9	693075|A0A7C4TW92|65	30.986	0.31
GeoCas9	1768010|A0A7W7Q3P9|28	34.177	0.33
GeoCas9	310769|A0A1G8E589|75	23.267	0.51
GeoCas9	1741|A0A117LBU0|70	31.081	0.58
GeoCas9	501497|A0A7V5NZV0|70	44.444	0.63
GeoCas9	237019|A0A2W7QM72|25	37.838	0.89
GeoCas9	1768010|A0A7W7VF65|28	24.242	1.0
GeoCas9	240169|A0A238Z493|70	30.508	1.1
GeoCas9	872965|A0A0N0RFD4|65	23.500	2.1
GeoCas9	84156|A0A832YXC6|85	24.409	2.4
GeoCas9	198703|A0A285N0V7|70	30.921	2.5
GeoCas9	872965|A0A0M8K967|65	28.431	2.5
GeoCas9	53376|A0A1X0DWE5|37	44.444	2.7
GeoCas9	262209|A0A176QGV7|28	31.646	2.9
GeoCas9	520764|A0A140KZE5|70	38.462	3.5
GeoCas9	60450|A0A7Y4NZX6|27	35.714	3.5
