seq_id	per_tok_mean_subseq	per_tok_mean_domain	delta
Cas12b__set_3_5_29_1 	 0.30069272063326224 	 0.16431532985714287 	 0.13637739077611938
Cas12b__set_3_6_30_1 	 0.6655021895845511 	 0.5983946054196242 	 0.0671075841649269
Cas12b__set_3_9_49_1 	 0.8290668594331984 	 0.9365282194939272 	 -0.10746136006072882
Cas12b__set_3_10_44_1 	 0.585355953971134 	 0.49628928908865977 	 0.08906666488247428
Cas12b__set_3_11_4_1 	 0.8018845201986755 	 0.611924171799117 	 0.18996034839955855
Cas12b__set_3_16_51_1 	 0.7338096872260692 	 0.3989893087861507 	 0.3348203784399185
Cas12b__set_3_17_42_1 	 0.6237356148806584 	 0.8484044756584362 	 -0.2246688607777778
Cas12b__set_3_18_48_1 	 0.987767611910569 	 0.9926861933536585 	 -0.0049185814430894315
Cas12b__set_3_19_47_1 	 0.9821742535365854 	 0.9848001068292683 	 -0.0026258532926829448
Cas12b__set_3_20_23_1 	 0.5350344371215933 	 0.4837370923417191 	 0.05129734477987419
Cas12b__set_3_23_1_1 	 0.1544017384822275 	 0.07999331553364929 	 0.0744084229485782
5U33_A_84_1 	 0.5071079199094567 	 0.2785115033269618 	 0.2285964165824949
AaCas12b_79_1 	 0.3870649904576613 	 0.24069988025806452 	 0.14636511019959678
Cas12b__set_3_7_60_1 	 0.5069374000060852 	 0.27119019964097363 	 0.2357472003651116
Cas12b__set_3_8_58_1 	 0.4439619795760649 	 0.2675245960750507 	 0.17643738350101423
Cas12b__set_3_14_67_1 	 0.43007643828830644 	 0.43849382720564517 	 -0.00841738891733873
Cas12b__set_3_15_65_1 	 0.6846440607258064 	 0.23702537110080646 	 0.44761868962499995
WP_021296342.1_80_1 	 0.468639594358871 	 0.2593720646945564 	 0.20926752966431456
WP_067936067.1_97_1 	 0.692313262027027 	 0.26837471846138994 	 0.4239385435656371
WP_146824402.1_83_1 	 0.3016152903165323 	 0.06960702035282258 	 0.2320082699637097
WP_206918966.1_81_1 	 0.33806455503629035 	 0.07793479765887097 	 0.2601297573774194
WP_206922773.1_82_1 	 0.3039627639294355 	 0.06960702035282258 	 0.23435574357661293
Cas12b__set_3_1_34_1 	 0.13600441489367346 	 0.022956385980612243 	 0.11304802891306122
Cas12b__set_3_2_37_1 	 0.09614116960530612 	 0.015403979169510204 	 0.08073719043579591
Cas12b__set_3_3_21_1 	 0.22592187870206185 	 0.04327922959698969 	 0.18264264910507216
Cas12b__set_3_12_5_1 	 0.5726094944420131 	 0.1644382334811816 	 0.40817126096083156
Cas12b__set_3_13_68_1 	 0.4489864654233871 	 0.4252076134112903 	 0.023778852012096785
Cas12b__set_3_21_17_1 	 0.16660517185085838 	 0.041948448081974246 	 0.12465672376888413
MBX6353558.1_75_1 	 0.6713236266798419 	 0.48918109061067194 	 0.18214253606916997
SFU30094.1_94_1 	 0.46175518446679686 	 0.4928974931152344 	 -0.031142308648437533
WP_139234486.1_92_1 	 0.4632236188784314 	 0.48558484102941174 	 -0.022361222150980353
WP_206885894.1_78_1 	 0.6779843779642857 	 0.6625749167579364 	 0.015409461206349229
