seq_id	per_tok_mean_subseq	per_tok_mean_domain	delta
Adurb193_1 	 0.34421389018644066 	 0.47558844408837775 	 -0.13137455390193709
Cas12a__set_1_1_1 	 0.390050709524625 	 0.52619824528875 	 -0.13614753576412503
Cas12a__set_1_28_1 	 0.2489045191137566 	 0.18123828168293651 	 0.06766623743082009
Cas12a__set_1_35_1 	 0.15188604884020102 	 0.17179367719786431 	 -0.0199076283576633
Cas12a__set_1_36_1 	 0.42302741349418604 	 0.5478789758691861 	 -0.12485156237500006
Cas12a__set_1_47_1 	 0.14354411550055554 	 0.09401798351916667 	 0.049526131981388874
Cas12a__set_1_61_1 	 0.2767421600455319 	 0.25418955121631204 	 0.02255260882921989
Cas12a__set_1_63_1 	 0.3215425837087417 	 0.3464386181165563 	 -0.02489603440781457
Cas12a__set_1_66_1 	 0.29837634447720873 	 0.34484706729705505 	 -0.04647072281984632
Cas12a__set_1_68_1 	 0.2821552373691913 	 0.22315457657432605 	 0.05900066079486524
Cas12a__set_7_4_1 	 0.542356213385965 	 0.45508288516464235 	 0.08727332822132261
Cas12a__set_1_6_1 	 0.20102652082607528 	 0.1387925437327957 	 0.062233977093279574
Cas12a__set_1_12_1 	 0.3966875802117647 	 0.3638360813895425 	 0.032851498822222214
Cas12a__set_1_14_1 	 0.12522172892585304 	 0.12010875710149439 	 0.005112971824358645
Cas12a__set_1_16_1 	 0.6739642483555556 	 0.8038522100522876 	 -0.129887961696732
Cas12a__set_1_29_1 	 0.49643732421537484 	 0.6155768054383736 	 -0.11913948122299872
Cas12a__set_1_31_1 	 0.3395585546980392 	 0.358954545696732 	 -0.019395990998692825
Cas12a__set_1_39_1 	 0.17744543232613066 	 0.16568403802386936 	 0.011761394302261308
Cas12a__set_1_40_1 	 0.3246065171615811 	 0.23206385822330097 	 0.09254265893828015
Cas12a__set_1_45_1 	 0.3174231452724968 	 0.34144768773130546 	 -0.02402454245880864
Cas12a__set_1_56_1 	 0.08461001905850746 	 0.05631347445820895 	 0.028296544600298505
Cas12a__set_1_60_1 	 0.31340346511172595 	 0.28868468150922266 	 0.02471878360250329
Adurb336_1 	 0.327434791695858 	 0.34173721216449704 	 -0.014302420468639054
Cas12a__set_1_15_1 	 0.24328329942474747 	 0.2533733534090909 	 -0.010090053984343428
Cas12a__set_1_17_1 	 0.2481657859617315 	 0.18954732721204517 	 0.058618458749686325
Cas12a__set_1_18_1 	 0.30976004273894603 	 0.22947373251028277 	 0.08028631022866325
Cas12a__set_1_23_1 	 0.2370459702734748 	 0.4257769904098143 	 -0.18873102013633952
Cas12a__set_1_24_1 	 0.3407627247710493 	 0.43144278481795195 	 -0.09068006004690266
Cas12a__set_1_30_1 	 0.19572862613496145 	 0.09673952390938304 	 0.09898910222557841
Cas12a__set_1_44_1 	 0.16707815755444888 	 0.11791742378273572 	 0.049160733771713164
Cas12a__set_1_50_1 	 0.16356756655538462 	 0.13289544361358974 	 0.030672122941794888
Cas12a__set_1_54_1 	 0.5094943144853186 	 0.8392311183933518 	 -0.3297368039080333
Hk_1 	 0.4778666262997573 	 0.5469480436614078 	 -0.06908141736165052
As_1 	 0.13137843337622548 	 0.10492428337401961 	 0.02645415000220587
Cas12a__set_1_5_1 	 0.1860662515298314 	 0.27302791341115434 	 -0.08696166188132295
Cas12a__set_1_13_1 	 0.1825006891033624 	 0.08626471458916563 	 0.09623597451419677
Cas12a__set_1_21_1 	 0.1307181477124021 	 0.16802865952597912 	 -0.03731051181357703
Cas12a__set_1_22_1 	 0.15258639442661498 	 0.1097090851878553 	 0.04287730923875968
Cas12a__set_1_48_1 	 0.15612680715714286 	 0.05045156383695937 	 0.10567524332018349
Cas12a__set_1_49_1 	 0.15108096312946795 	 0.1450439320143247 	 0.006037031115143254
Cas12a__set_1_53_1 	 0.16957537011109625 	 0.0737702263 	 0.09580514381109624
Cas12a__set_1_59_1 	 0.22456497429410222 	 0.2649939318846658 	 -0.040428957590563586
Cas12a__set_1_67_1 	 0.1537172463713217 	 0.1765513170561097 	 -0.022834070684788016
Fn3_1 	 0.09944320288087861 	 0.15036026854219653 	 -0.050917065661317915
Cas12a_var__set_2_8_1 	 0.08661904718604993 	 0.05111274332334802 	 0.03550630386270191
Cas12a__set_1_4_1 	 0.15811213017949044 	 0.14015385330726116 	 0.017958276872229284
Cas12a__set_1_11_1 	 0.2822314263090439 	 0.4879217149147287 	 -0.20569028860568478
Cas12a__set_1_25_1 	 0.3152758697442236 	 0.3371357873726708 	 -0.02185991762844719
Cas12a__set_1_42_1 	 0.12921557744265091 	 0.18128958847230972 	 -0.05207401102965881
Cas12a__set_1_46_1 	 0.16475994899208543 	 0.1809333460428392 	 -0.01617339705075377
Cas12a__set_1_55_1 	 0.18322648985828804 	 0.18763664682880435 	 -0.004410156970516305
Cas12a__set_1_57_1 	 0.29089705841047747 	 0.3157971887082228 	 -0.02490013029774535
Cas12a__set_1_69_1 	 0.36180731613195344 	 0.4755247555912031 	 -0.11371743945924967
Cas12a__set_1_71_1 	 0.5673071527098092 	 0.6800687862602179 	 -0.11276163355040869
Pd_1 	 0.2165955164821267 	 0.1404695659341629 	 0.07612595054796378
Cas12a_var__set_2_1_1 	 0.48064864308814104 	 0.15140261516105769 	 0.32924602792708335
Cas12a_var__set_2_2_1 	 0.29744332310272875 	 0.0659654931388443 	 0.23147782996388444
Cas12a_var__set_2_3_1 	 0.3861820776152623 	 0.19927860766406996 	 0.18690346995119234
Cas12a_var__set_2_4_1 	 0.13240463059906543 	 0.10448395811978194 	 0.027920672479283495
Cas12a_var__set_2_5_1 	 0.6947292960679612 	 0.725821145420712 	 -0.031091849352750778
Cas12a_var__set_2_7_1 	 0.7174089981566069 	 0.4686118061468189 	 0.24879719200978795
Cas12a_var__set_2_9_1 	 0.6549883730508474 	 0.5238517717161016 	 0.1311366013347458
Cas12a__set_1_37_1 	 0.6006933846223684 	 0.62208077275 	 -0.021387388127631524
Cas12a__set_1_41_1 	 0.32469266050088497 	 0.23780096632566372 	 0.08689169417522125
Cas12a__set_1_70_1 	 0.11664514170713342 	 0.0953768519678996 	 0.02126828973923381
Pi_1 	 0.23157429032356258 	 0.1488565050341601 	 0.08271778528940249
Cas12a__set_1_2_1 	 0.183978173832005 	 0.1029271509958904 	 0.08105102283611458
Cas12a__set_1_3_1 	 0.1838023244585305 	 0.09463039971070984 	 0.08917192474782067
Cas12a__set_1_27_1 	 0.16715400845795456 	 0.14977133599065656 	 0.017382672467297994
Cas12a__set_1_32_1 	 0.15932665616595476 	 0.1953871177884422 	 -0.03606046162248744
Cas12a__set_1_34_1 	 0.15354420511319095 	 0.17723804412525127 	 -0.02369383901206032
Cas12a__set_1_43_1 	 0.1422248281910176 	 0.15823497879484924 	 -0.016010150603831652
Cas12a__set_1_51_1 	 0.1229443938701731 	 0.05869337399107856 	 0.06425101987909454
Cas12a__set_1_52_1 	 0.1477459501094086 	 0.0631570480094086 	 0.0845889021
Cas12a__set_1_58_1 	 0.16162032153229428 	 0.1974581300062344 	 -0.035837808473940136
Cas12a__set_1_64_1 	 0.2344305513576142 	 0.17641785111383249 	 0.05801270024378172
Cas12a__set_1_65_1 	 0.24582809690872315 	 0.20441344602756006 	 0.041414650881163084
Cas12a_var__set_2_6_1 	 0.5606104155258065 	 0.6365504127903225 	 -0.07593999726451606
Cas12a__set_1_7_1 	 0.29874513671035385 	 0.27885091923984273 	 0.019894217470511122
Cas12a__set_1_8_1 	 0.47048214887843137 	 0.5291478743725491 	 -0.05866572549411769
Cas12a__set_1_9_1 	 0.4431981004248366 	 0.49115444945359477 	 -0.04795634902875817
Cas12a__set_1_10_1 	 0.31002350589803923 	 0.24879610744183006 	 0.06122739845620917
Cas12a__set_1_19_1 	 0.1307181477124021 	 0.16802865952597912 	 -0.03731051181357703
Cas12a__set_1_20_1 	 0.15258639442661498 	 0.1097090851878553 	 0.04287730923875968
Cas12a__set_1_26_1 	 0.39066615891218875 	 0.5599792141834863 	 -0.16931305527129753
Cas12a__set_1_33_1 	 0.13276829457844222 	 0.15430458193781407 	 -0.021536287359371853
Cas12a__set_1_38_1 	 0.32995614452843275 	 0.23206385822330097 	 0.09789228630513178
Cas12a__set_1_62_1 	 0.33674451494516555 	 0.37230812333112584 	 -0.03556360838596029
